Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40726412,The Road to Jonestown: Jim Jones and Peoples Temple,Jeff Guinn,"Guinn, Jeff",,"=""""","=""""",0,4.16,Simon & Schuster,Kindle Edition,454,2017,2017,,2025/12/08,to-read,to-read (#77),to-read,,,,0,0
275893,Shattered Dreams: My Life as a Polygamist's Wife,Irene Spencer,"Spencer, Irene",,"=""1599957191""","=""9781599957197""",0,3.85,Center Street,Hardcover,385,2007,2007,,2022/09/12,currently-reading,currently-reading (#2),currently-reading,,,,1,0
34217597,Breaking Free,Rachel Jeffs,"Jeffs, Rachel",,"=""0062692828""","=""9780062692825""",0,4.11,Harper,Paperback,400,2017,2017,,2022/09/12,,,read,,,,1,0
3998947,The Island of Dr Moreau,H.G. Wells,"Wells, H.G.",,"=""1405881909""","=""9781405881906""",0,3.73,Pearson Education ESL,Paperback,64,2008,1896,2024/08/17,2024/08/15,,,read,,,,1,0
22584,"Flow My Tears, the Policeman Said",Philip K. Dick,"Dick, Philip K.",Chris     Moore,"=""1857983416""","=""9781857983418""",4,3.91,Gollancz  ,Paperback,204,2001,1974,2025/02/09,2022/08/30,,,read,,,,1,0
13101464,And So it Goes: Kurt Vonnegut,Charles J. Shields,"Shields, Charles J.",,"=""""","=""""",0,3.97,,Kindle Edition,529,,2011,,2022/09/09,to-read,to-read (#76),to-read,,,,1,0
21418013,"Lock In (Lock In, #1)",John Scalzi,"Scalzi, John",,"=""0765375869""","=""9780765375865""",4,3.92,Tor Books,Hardcover,336,2014,2014,2025/02/09,2025/02/09,,,read,,,,1,0
25332115,The Sound of Gravel,Ruth Wariner,"Wariner, Ruth",,"=""1250077699""","=""9781250077691""",5,4.31,Flatiron Books,Hardcover,336,2016,2016,2025/01/26,2019/12/06,,,read,,,,1,0
33290408,"God Bless You, Mr. Rosewater",Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",3,3.97,RosettaBooks,Kindle Edition,290,2011,1965,2024/08/01,2022/09/09,,,read,,,,1,0
182101483,"The Dryad's Crown (Tales from Efre Ousel, #1)",David  Hopkins,"Hopkins, David",Daniel Irving Decena,"=""""","=""9798218186432""",0,4.24,Seven Coins Media,Paperback,618,2023,,,2024/01/18,to-read,to-read (#75),to-read,,,,0,0
125163926,"The Dryad's Crown (Tales from Efre Ousel, #1)",David  Hopkins,"Hopkins, David",,"=""""","=""9798988140191""",5,4.24,Seven Coins Media,Kindle Edition,569,2023,,,2023/05/03,to-read,to-read (#74),to-read,"Hopkins ability to create a world and characters is absolutely amazing. The characters and locations are so vivid that you're left feeling like you know these places and these people as well as you do your own hometown. The storytelling is fresh, well paced, and draws you along through the entire book without a lull.",,,0,0
9597,Player Piano,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333781""","=""9780385333788""",4,3.90,Dial Press,Paperback,341,2006,1952,2023/08/03,2022/09/09,,,read,,,,1,0
4986,"God Bless You, Dr. Kevorkian",Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0743422007""","=""9780743422000""",3,3.87,Washington Square Press,Paperback,80,2001,1999,2023/04/30,2022/09/09,,,read,,,,1,0
21541304,A Year and a Day on Just a Few Acres,Peter Larson,"Larson, Peter",,"=""149549957X""","=""9781495499579""",0,4.32,CreateSpace Independent Publishing Platform,Paperback,294,2014,2014,,2022/10/25,to-read,to-read (#73),to-read,,,,0,0
33163387,Not So Different: What You Really Want to Ask About Having a Disability,Shane Burcaw,"Burcaw, Shane",Shane Burcaw,"=""1626727716""","=""9781626727717""",0,4.45,Roaring Brook Press,Hardcover,40,2017,2017,,2022/09/15,to-read,to-read (#72),to-read,,,,0,0
1910769,Fat,Rob Grant,"Grant, Rob",,"=""0575078200""","=""9780575078208""",0,3.67,Gollancz,Paperback,329,2007,2006,,2022/09/15,to-read,to-read (#71),to-read,,,,0,0
39801235,The Quanderhorn Xperimentations,Rob Grant,"Grant, Rob",Andrew Marshall,"=""1473224020""","=""9781473224025""",0,3.34,Gollancz,Hardcover,464,2018,2018,,2022/09/15,to-read,to-read (#70),to-read,,,,0,0
59545578,Antibody,Chris          Williams,"Williams, Chris",,"=""1087973481""","=""9781087973487""",0,4.07,Chris Williams,Paperback,364,2021,,,2022/09/15,to-read,to-read (#69),to-read,,,,0,0
9593,Galápagos,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333870""","=""9780385333870""",4,3.87,Dial Press Trade Paperback,Paperback,324,1999,1985,2022/09/13,2022/09/09,,,read,,,,1,0
60177373,Fairy Tale,Stephen        King,"King, Stephen",,"=""1668002175""","=""9781668002179""",0,4.09,Scribner,Hardcover,607,2022,2022,,2022/09/13,to-read,to-read (#68),to-read,,,,0,0
60748,"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,"Pelzer, Dave",,"=""""","=""""",0,4.14,Health Communications Inc,Paperback,184,1995,1995,,2022/09/12,to-read,to-read (#67),to-read,,,,0,0
46113727,Scarred,Sarah  Edmondson,"Edmondson, Sarah",Kristine Gasbarre,"=""1452184267""","=""9781452184265""",0,3.95,Chronicle Prism,Hardcover,248,2019,,,2022/09/12,to-read,to-read (#66),to-read,,,,0,0
6314709,Lost Boy,Brent W. Jeffs,"Jeffs, Brent W.",Maia Szalavitz,"=""0767931777""","=""9780767931779""",0,3.90,Broadway Books,Hardcover,241,2009,2009,,2022/09/12,to-read,to-read (#65),to-read,,,,0,0
2659997,"Stolen Innocence: My Story of Growing Up in a Polygamist Sect, Becoming a Teenage Bride, and Breaking Free of Warren Jeffs",Elissa Wall,"Wall, Elissa",Lisa Pulitzer,"=""0061628018""","=""9780061628016""",0,3.95,William Morrow,Hardcover,438,2008,2008,,2022/09/12,to-read,to-read (#64),to-read,,,,0,0
818811,Escape,Carolyn Jessop,"Jessop, Carolyn",Laura Palmer,"=""0767927567""","=""9780767927567""",0,3.99,Broadway Books,Hardcover,413,2007,2007,,2022/09/12,to-read,to-read (#63),to-read,,,,0,0
